A�o,Bencineros,Electricos,Buses Producidos,Bencineros �ltimo a�o,Inventario
1,5479,1059,1059,437,3363.0088791697945
2,5042,1584,525,575,4856.356611296667
3,4467,2203,619,721,1253.2601361511533
4,3746,2946,743,868,3114.157172065554
5,2878,3854,908,1031,3394.0282507637658
6,1847,4978,1124,1106,3825.8979986538216
7,741,6373,1395,741,18838.67659838937
8,0,7367,994,0,4968646.645891354
9,0,7411,44,0,17746183.666569535
10,0,7454,43,0,30486098.445819713
11,0,7498,44,0,43166857.95273958
12,0,7542,44,0,55791148.76125452
13,0,7579,37,0,68402841.25354058
14,0,7586,7,0,81151848.83443949
15,0,7871,285,0,91800233.30994637
DEMANDA * 0.1
17332962.5221522
A�o,Bencineros,Electricos,Buses Producidos,Bencineros �ltimo a�o,Inventario
1,0,702,702,0,4114282.6392318844
2,0,711,9,0,8973027.114415534
3,0,715,4,0,13871577.58618223
4,0,717,2,0,18781955.92877466
5,0,721,4,0,23673031.734671474
6,0,722,1,0,28581554.328498676
7,0,728,6,0,33448168.108511478
8,0,737,9,0,38291983.738294914
9,0,742,5,0,43165109.39867519
10,0,746,4,0,48041805.08120347
11,0,750,4,0,52913264.32874877
12,0,755,5,0,57770993.99675842
13,0,758,3,0,62637993.067497015
14,0,759,1,0,67510531.77863494
15,0,788,29,0,72171490.26250708
DEMANDA * 0.97
207374444.9960996
A�o,Bencineros,Electricos,Buses Producidos,Bencineros �ltimo a�o,Inventario
1,5259,1069,1069,454,2579.5978713858412
2,4805,1608,539,595,4670.4266931629945
3,4210,2246,638,749,3630.6218898327943
4,3461,3016,770,906,1891.3554670618623
5,2555,3960,944,1026,3735.874134450817
6,1529,5128,1168,1138,5749.595162633833
7,391,6583,1455,391,1971.518335446076
8,0,7146,563,0,8245970.247978304
9,0,7188,42,0,20765559.00762575
10,0,7231,43,0,33232819.056254413
11,0,7273,42,0,45658766.60491048
12,0,7316,43,0,58021766.09624637
13,0,7352,36,0,70374316.0243508
14,0,7358,6,0,82867267.60537232
15,0,7635,277,0,93311683.02286041
DEMANDA * 0.93
195745282.26726863
A�o,Bencineros,Electricos,Buses Producidos,Bencineros �ltimo a�o,Inventario
1,4965,1082,1082,476,4429.88315167489
2,4489,1640,558,623,4251.253902838253
3,3866,2303,663,785,10815.067911109327
4,3081,3109,806,951,4515.902484170503
5,2130,4101,992,999,4158.849620373578
6,1131,5326,1225,1131,4258.199385132195
7,0,6770,1444,0,566157.3762416691
8,0,6851,81,0,12434789.405401723
9,0,6892,41,0,24597149.02673036
10,0,6933,41,0,36717190.05941637
11,0,6973,40,0,48797866.81705403
12,0,7014,41,0,60817774.44118606
13,0,7048,34,0,72829892.69691512
14,0,7055,7,0,84962417.56655352
15,0,7320,265,0,95145820.5365642
DEMANDA * 0.9
187724960.95521918
A�o,Bencineros,Electricos,Buses Producidos,Bencineros �ltimo a�o,Inventario
1,4745,1092,1092,493,3939.6200478879955
2,4252,1664,572,644,4816.486173909598
3,3608,2348,684,813,173.71245026472752
4,2795,3180,832,925,470.45208881393046
5,1870,4202,1022,1033,8709.909918937297
6,837,5469,1267,837,4124.454206288168
7,0,6551,1082,0,3289070.506154915
8,0,6630,79,0,14898799.465664644
9,0,6670,40,0,26795307.800754167
10,0,6709,39,0,38658892.77014771
11,0,6748,39,0,50476475.29952158
12,0,6788,40,0,62235091.60647456
13,0,6821,33,0,73988067.29802202
14,0,6827,6,0,85864536.167783
15,0,7084,257,0,95843970.0797749
DEMANDA * 0.85
174350024.2081705
A�o,Bencineros,Electricos,Buses Producidos,Bencineros �ltimo a�o,Inventario
1,4377,1109,1109,521,903.1635359742372
2,3856,1704,595,678,6292.102570431825
3,3178,2420,716,859,5199.37329476683
4,2319,3297,877,882,730.8116196438623
5,1437,4371,1074,1090,6507.227837091805
6,347,5707,1336,347,2257.285913771422
7,0,6187,480,0,7814976.177855441
8,0,6262,75,0,18998852.22889766
9,0,6299,37,0,30462938.86879705
10,0,6336,37,0,41888175.9969268
11,0,6374,38,0,53262098.576797724
12,0,6411,37,0,64596159.90296973
13,0,6442,31,0,75919777.19414788
14,0,6448,6,0,87355988.86589995
15,0,6690,242,0,97009084.6709558
DEMANDA * 0.8
161393705.49101868
A�o,Bencineros,Electricos,Buses Producidos,Bencineros �ltimo a�o,Inventario
1,4010,1125,1125,549,4951.688159971749
2,3461,1744,619,714,5814.915677194636
3,2747,2493,749,843,2176.619268097402
4,1904,3409,916,895,1798.8888755555927
5,1009,4534,1125,1009,3162.614491205324
6,0,5771,1237,0,1090352.3289036553
7,0,5823,52,0,11989729.080838395
8,0,5893,70,0,22755642.410564013
9,0,5929,36,0,33771122.06006488
10,0,5964,35,0,44758377.21960178
11,0,5999,35,0,55704852.44569971
12,0,6034,35,0,66606076.52109073
13,0,6063,29,0,77500335.4118996
14,0,6069,6,0,88496289.88564275
15,0,6297,228,0,97815055.50411966
DEMANDA * 0.7
137048083.59592125
A�o,Bencineros,Electricos,Buses Producidos,Bencineros �ltimo a�o,Inventario
1,3276,1158,1158,605,5381.725375978058
2,2671,1824,666,732,5628.471287134439
3,1939,2634,810,797,1546.2520967457867
4,1142,3623,989,978,2042.3352810280094
5,164,4846,1223,164,4857.456547792845
6,0,5049,203,0,8739109.487134637
7,0,5095,46,0,18771872.45905582
8,0,5157,62,0,28686079.971846417
9,0,5188,31,0,38828813.20575863
10,0,5218,30,0,48947654.952767946
11,0,5249,31,0,59022670.93131988
12,0,5280,31,0,69058220.50514895
13,0,5305,25,0,79093762.59521921
14,0,5310,5,0,89217178.35782444
15,0,5510,200,0,97866993.41278636
DEMANDA * 0.6
114323463.85418674
A�o,Bencineros,Electricos,Buses Producidos,Bencineros �ltimo a�o,Inventario
1,2540,1192,1192,608,334.83001599435386
2,1932,1901,709,683,3109.4837564881136
3,1249,2762,861,855,2989.000599607997
4,394,3820,1058,394,9379.272624056899
5,0,4326,506,0,5363779.968002643
6,0,4328,2,0,14846379.64600255
7,0,4368,40,0,24012933.24608191
8,0,4420,52,0,33091607.399086945
9,0,4447,27,0,42353311.9474105
10,0,4473,26,0,51595823.88456462
11,0,4499,26,0,60807662.88556911
12,0,4525,26,0,69985482.79138854
13,0,4548,23,0,79146065.86582012
14,0,4552,4,0,88397249.5024075
15,0,4723,171,0,96386396.26385467
DEMANDA * 0.5
92912705.59999695
A�o,Bencineros,Electricos,Buses Producidos,Bencineros �ltimo a�o,Inventario
1,1872,1220,1220,573,3031.071487978909
2,1299,1964,744,725,2431.9222670844406
3,574,2872,908,574,10026.116806051892
4,0,3585,713,0,2739482.019767858
5,0,3605,20,0,11194861.049251428
6,0,3607,2,0,19761072.10466353
7,0,3640,33,0,28069294.19472798
8,0,3684,44,0,36296262.53079652
9,0,3706,22,0,44685220.66353142
10,0,3727,21,0,53059319.18815958
11,0,3749,22,0,61399698.94161637
12,0,3771,22,0,69711844.34587383
13,0,3790,19,0,78013710.61956681
14,0,3793,3,0,86392355.54501627
15,0,3936,143,0,93712551.74294867
DEMANDA * 0.4
72550231.25040986
A�o,Bencineros,Electricos,Buses Producidos,Bencineros �ltimo a�o,Inventario
1,1280,1243,1243,608,2319.782207932208
2,672,2020,777,672,3806.2840775056607
3,0,2859,839,0,781250.9815265961
4,0,2868,9,0,8414482.081896313
5,0,2884,16,0,15978785.305483572
6,0,2886,2,0,23628607.738309488
7,0,2912,26,0,31078498.318360694
8,0,2947,35,0,38461651.02464537
9,0,2965,18,0,45969580.47179162
10,0,2982,17,0,53467349.18656283
11,0,3000,18,0,60936621.63674403
12,0,3017,17,0,68391374.80943954
13,0,3032,15,0,75834524.28239393
14,0,3035,3,0,83332654.81182554
15,0,3149,114,0,89992182.71624291
DEMANDA * 0.3
53183141.22705149
A�o,Bencineros,Electricos,Buses Producidos,Bencineros �ltimo a�o,Inventario
1,687,1266,1266,642,2923.393583851173
2,45,2076,810,45,6495.546543837163
3,0,2145,69,0,6230057.57184404
4,0,2151,6,0,12961192.599621274
5,0,2163,12,0,19634420.017311648
6,0,2164,1,0,26375719.856310368
7,0,2184,20,0,32958996.656348813
8,0,2210,26,0,39498333.732850045
9,0,2224,14,0,46125234.4944077
10,0,2237,13,0,52746673.39932157
11,0,2250,13,0,59352768.87195753
12,0,2263,13,0,65941847.54309113
13,0,2274,11,0,72526280.21530698
14,0,2276,2,0,79151872.03360064
15,0,2362,86,0,85142449.37450294
DEMANDA * 0.2
34807241.426484525
A�o,Bencineros,Electricos,Buses Producidos,Bencineros �ltimo a�o,Inventario
1,94,1289,1289,94,3527.004959838699
2,0,1421,132,0,4776378.142760051
3,0,1430,9,0,10565196.816293437
4,0,1434,4,0,16385953.501478296
5,0,1442,8,0,22168105.113271926
6,0,1443,1,0,27993016.329684883
7,0,1456,13,0,33717961.61971049
8,0,1474,18,0,39405592.87927738
9,0,1483,9,0,45159747.22524631
10,0,1491,8,0,50912772.71763191
11,0,1500,9,0,56647408.942722514
12,0,1509,9,0,62370813.11229412
13,0,1516,7,0,68096528.98377132
14,0,1518,2,0,73841606.40604717
15,0,1575,57,0,79171515.45343438
HASTA ACA LLEGO VARIACION DEMANDA
PINICIAL * 0.9
220064163.49561015
A�o,Bencineros,Electricos,Buses Producidos,Bencineros �ltimo a�o,Inventario
1,5614,924,924,403,473.01168000323077
2,5211,1415,491,530,748.0120097745536
3,4681,1989,574,664,3676.6022443198603
4,4017,2675,686,795,3544.083875043711
5,3222,3509,834,932,579.5010913514602
6,2290,4535,1026,1090,1364.6777395676768
7,1200,5812,1277,1200,6460.335863105356
8,0,7367,1555,0,309914.8351555945
9,0,7411,44,0,13087451.855833774
10,0,7454,43,0,25827366.63508395
11,0,7498,44,0,38508126.14200382
12,0,7542,44,0,51132416.95051876
13,0,7579,37,0,63744109.442804806
14,0,7586,7,0,76493117.02370372
15,0,7871,285,0,87141501.49921064

PPAS PLATAKM * 1.1
202898785.60828885
A�o,Bencineros,Electricos,Buses Producidos,Bencineros �ltimo a�o,Inventario
1,5257,1281,1281,719,3104.408719071416
2,4538,2088,807,935,6082.499111863712
3,3603,3067,979,1183,1536.0811155757
4,2420,4272,1205,1238,3442.9047467142445
5,1182,5764,1492,1182,3829.837622946572
6,0,7213,1449,0,2750199.2047095583
7,0,7279,66,0,16962940.906670716
8,0,7367,88,0,31032465.135964006
9,0,7411,44,0,45435620.65164164
10,0,7454,43,0,59810658.86089126
11,0,7498,44,0,74136180.65281057
12,0,7542,44,0,88414872.60132495
13,0,7579,37,0,102689068.22861043
14,0,7586,7,0,117102115.80450878
15,0,7871,285,0,129477058.91251594

PPAS PLATAKM * 1.15
198986546.04492545
A�o,Bencineros,Electricos,Buses Producidos,Bencineros �ltimo a�o,Inventario
